artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
Iron Maiden,No More Lies,Dance Of Death,10,C/Am,765,0,1785,0,833,1193,1,1395,0,2614,2,175,8763,8.729887024991442,0.0,20.369736391646693,0.0,9.50587698276846,13.614059112176196,0.011411617026132602,15.919205751454982,0.0,29.829966906310624,0.022823234052265204,1.9970329795732056,metal
Iron Maiden,No More Lies,Dance Of Death,10,C/Am,765,0,1785,0,833,1193,1,1395,0,2614,2,175,8763,8.729887024991442,0.0,20.369736391646693,0.0,9.50587698276846,13.614059112176196,0.011411617026132602,15.919205751454982,0.0,29.829966906310624,0.022823234052265204,1.9970329795732056,metal
Iron Maiden,Brave New World,Brave New World,10,F/Dm,883,0,2495,0,520,662,19,857,8,751,724,97,7016,12.58551881413911,0.0,35.561573546180156,0.0,7.411630558722919,9.43557582668187,0.2708095781071836,12.214937286202964,0.11402508551881414,10.704104903078678,10.31927023945268,1.3825541619156214,metal
Iron Maiden,Another Life,Killers,4,C/Am,233,20,468,80,579,61,15,415,25,960,302,22,3180,7.327044025157233,0.628930817610063,14.716981132075471,2.515723270440252,18.20754716981132,1.9182389937106918,0.4716981132075472,13.050314465408805,0.7861635220125787,30.18867924528302,9.49685534591195,0.6918238993710693,metal
Iron Maiden,Can i play with madness,Seventh son of  a seventh son,7,D/Bm,199,22,1128,0,453,24,269,871,30,940,45,292,4273,4.657149543646151,0.5148607535689211,26.398315001170136,0.0,10.601450971214604,0.5616662766206413,6.295342850456354,20.383805289024103,0.7020828457758015,21.99859583430845,1.0531242686637023,6.833606365551136,metal
Iron Maiden,Out of the silent planet,Brave New World,11,G/Em,931,0,1325,0,2668,3,115,1595,0,1242,3,781,8663,10.746854438416253,0.0,15.29493247143022,0.0,30.79764515756666,0.03463003578437031,1.3274847050675287,18.411635692023548,0.0,14.336834814729308,0.03463003578437031,9.015352649197737,metal
IRON MAIDEN,Ghost Of Navigator,Brave new world,5,F/Dm,795,12,1580,0,378,240,94,468,8,526,318,244,4663,17.049110015011795,0.25734505683036674,33.88376581599829,0.0,8.10636929015655,5.146901136607334,2.0158696118378727,10.036457216384303,0.17156337122024448,11.280291657731075,6.819644006004719,5.232682822217456,metal
Metallica,...And Justice for all,...And Justice for all,8,G/Em,779,573,929,15,3237,872,1296,782,82,1159,714,1396,11834,6.5827277336488095,4.8419807334798035,7.85026195707284,0.12675342234240325,27.35338854149062,7.368598952171708,10.951495690383641,6.608078418117288,0.6929187088051377,9.793814432989691,6.033462903498394,11.796518505999662,metal
Metallica,King Nothing,Load,5,F/Dm,189,111,1805,162,50,366,2,502,303,181,69,18,3758,5.029270888770623,2.9536987759446514,48.03086748270356,4.310803618946248,1.3304949441192122,9.739222990952634,0.05321979776476849,13.35816923895689,8.062799361362426,4.816391697711548,1.8360830228845133,0.4789781798829164,metal
Megadeth,Sweating Bullets,Countdown To Extinction,4,G/Em,126,59,187,28,1209,422,143,442,64,443,372,418,3913,3.2200357781753133,1.5077945310503449,4.778941988244314,0.7155635062611807,30.89700996677741,10.784564272936366,3.6544850498338874,11.295681063122924,1.6355737285969845,11.321236902632252,9.506772297469972,10.682340914899054,metal
